,Total,Productos primarios,Manufacturas de Origen Agropecuario,Manufacturas de Origen Industrial ,Combustibles y energía,lat,long,ar_lat,ar_long
   Brasil,14420301,1612296,1519350,9958356,1330299,-15.8,-47.9,-34.603333,-58.381667
   Paraguay,1154240,70332,184452,674275,225181,-25.28219,-57.6351,-34.603333,-58.381667
   Uruguay,1552146,73851,289912,1088275,100108,-34.883611,-56.181944,-34.603333,-58.381667
   Bolivia,607560,26901,153442,407333,19885,-16.5,-68.15,-34.603333,-58.381667
   Chile,4489947,251473,1065822,1682416,1490237,-33.45,-70.666667,-34.603333,-58.381667
   Colombia,1301587,569541,404426,327570,51,4.598056,-74.075833,-34.603333,-58.381667
   Cuba,88556,35603,33070,19882,1,23.133333,-82.383333,-34.603333,-58.381667
   Ecuador,501097,68922,176161,241367,14647,-0.25,-78.583333,-34.603333,-58.381667
   México,1226899,85726,171002,913069,57102,19.433333,-99.133333,-34.603333,-58.381667
   Perú,1120663,384658,349894,381817,4293,-12.043333,-77.028333,-34.603333,-58.381667
   Venezuela,1423785,185120,581528,657042,95,10.5,-66.916667,-34.603333,-58.381667
