Treaty Number,Sign Date,Source,Volume,Page,Party 1,Party 1 COW, Party 2,Number,Party 2 COW,Laterality,Topic,Title,ar_lat,ar_long,lat,long
300715,1911-07-22,LTS,28,287,ARGENT,160,VENEZU,1,101,BILAT,1DISPU,ARBITRATION,-34.60333,-58.38167,10.54,-66.93
401300,1911-12-07,ARIF,0,0,ARGENT,160,ECUADO,3,130,BILAT,1DISPU,GENERAL ARBITRATION,-34.60333,-58.38167,-0.25,-78.583333
401625,1920-01-20,ARIF,0,0,ARGENT,160,COLOMB,1,100,BILAT,1DISPU,ARBITRATION,-34.60333,-58.38167,4.598056,-74.075833
401325,1925-07-09,ARIF,0,0,ARGENT,160,BOLIVI,25,145,BILAT,1TERRI,DEFINITION OF BOUNDARIES,-34.60333,-58.38167,-16.5,-68.15
401293,1926-06-29,ARIF,0,0,ARGENT,160,TURKEY,1,640,BILAT,1AMITY,FRIENDSHIP,-34.60333,-58.38167,39.916667,32.833333
200193,1927-12-27,UNTS,51,271,ARGENT,160,BRAZIL,16,140,BILAT,1TERRI,SUPPLEMENTARY FRONTIER AGREEMENT,-34.60333,-58.38167,-15.8,-47.9
303305,1933-09-26,LTS,143,67,ARGENT,160,UK,1,200,BILAT,1AMITY,ADDITION TO TREATY OF FRIENDSHIP COMMERCE AND NAVIGATION OF 1825,-34.60333,-58.38167,51.5,-0.11666
401593,1937-03-18,ARIF,0,0,ARGENT,160,IRAN,1,630,BILAT,1AMITY,FRIENDSHIP,-34.60333,-58.38167,35.683333,51.416667
401592,1938-11-23,ARIF,0,0,ARGENT,160,GREECE,1,350,BILAT,1AMITY,TRADE AND NAVIGATION,-34.60333,-58.38167,38,23.71666
401111,1945-08-16,ARIF,0,0,ARGENT,160,PARAGU,8,150,BILAT,1ESTAB,ESTABLISH THE MIXED COMMISSION TO STUDY A CUSTOMS UNION,-34.60333,-58.38167,-25.28219,-57.6351
401644,1945-11-22,ARIF,0,0,ARGENT,160,LEBANO,1,660,BILAT,1RECOG,ESTABLISHMENT OF DIPLOMATIC RELATIONS,-34.60333,-58.38167,33.9,35.533333
401287,1945-11-23,ARIF,0,0,ARGENT,160,SYRIA,2,652,BILAT,1RECOG,ESTABLISHMENT OF DIPLOMATIC RELATIONS,-34.60333,-58.38167,33.5,36.3
401577,1946-02-16,ARIF,0,0,ARGENT,160,SAUDI,1,670,BILAT,1RECOG,ESTABLISHMENT OF DIPLOMATIC RELATIONS,-34.60333,-58.38167,24.65,46.766667
401514,1946-04-10,ARIF,0,0,ARGENT,160,IRAQ,1,645,BILAT,1RECOG,ESTABLISHMENT OF DIPLOMATIC RELATIONS,-34.60333,-58.38167,33.333333,44.433333
468018,1946-06-05,SUST,1959,212,ARGENT,160,USSR,2,,BILAT,1AMITY,GENERAL RELATIONS,-34.60333,-58.38167,55.75,37.616667
401667,1946-06-20,ARIF,0,0,ARGENT,160,POLAND,1,290,BILAT,1RECOG,RE-ESTABLISHMENT OF DIPLOMATIC RELATIONS,-34.60333,-58.38167,52.216667,21.033333
402002,1946-09-19,ARIF,0,0,ARGENT,160,YUGOSL,1,345,BILAT,1RECOG,ESTABLISHING DIPLOMATIC AND CONSULAR RELATIONS,-34.60333,-58.38167,44.820556,20.462222
107077,1947-02-10,UNTS,486,143,ARGENT,160,CHINA,1,710,BILAT,1AMITY,AMITY,-34.60333,-58.38167,36.91666,116.38333
401553,1947-04-11,ARIF,0,0,ARGENT,160,AUSTRI,1,305,BILAT,1RECOG,RE-ESTABLISHMENT OF DIPLOMATIC RELATIONS,-34.60333,-58.38167,48.22,16.37
401506,1947-06-09,ARIF,0,0,ARGENT,160,EGYPT,1,651,BILAT,1RECOG,ESTABLISHMENT OF DIPLOMATIC RELATIONS,-34.60333,-58.38167,30.083333,31.416667
401567,1947-06-29,ARIF,0,0,ARGENT,160,IRELAN,1,205,BILAT,1RECOG,ESTABLISHMENT OF DIPLOMATIC RELATIONS,-34.60333,-58.38167,53.347778,-6.259722
401296,1947-09-10,ARIF,0,0,ARGENT,160,SAFRI,1,560,BILAT,1RECOG,ESTABLISHMENT OF DIPLOMATIC RELATIONS,-34.60333,-58.38167,-25.746111,28.188056
401711,1948-12-01,ARIF,0,0,ARGENT,160,SWEDEN,1,380,BILAT,1ESTAB,MIXED CONSULTATIVE COMMISSION,-34.60333,-58.38167,59.35,18.066667
401095,1948-12-04,ARIF,0,0,ARGENT,160,ITALY,5,325,BILAT,1AMITY,AMITY AND COLLABORATION,-34.60333,-58.38167,41.9,12.483333
